"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000254461.1","ENSG00000254461.1",4.23962744654371,69.3819985198295,0.000284332738877671,"394","3","0.0144129604412332",0.616346153846154,0.097824149066505,"ENSG00000254461",NA,NA
"ENSG00000239040.1","ENSG00000239040.1",1.70576322187171,5.50558604778471,0.0183063399375839,"352","45","0.181633706442999",0.663782051282051,0.101398756608016,"ENSG00000239040",NA,NA
"ENSG00000133997.12","ENSG00000133997.12",1.46955851587457,4.34731544657871,0.04658428054683,"365","32","0.230027016048948",0.663141025641026,0.102355197328956,"ENSG00000133997","MED6","mediator complex subunit 6"
"ENSG00000285960.1","ENSG00000285960.1",-1.43852683966745,0.237277048474656,0.0497567075018857,"123","274","4.21448263297497",0.708974358974359,0.0835855658852154,"ENSG00000285960",NA,NA
"ENSG00000163507.14","ENSG00000163507.14",3.41500586246756,30.4171277464673,0.00227057419788106,"394","3","0.0328762139652105",0.61474358974359,0.0982742054644451,"ENSG00000163507","CIP2A","cellular inhibitor of PP2A"
"ENSG00000241684.6","ENSG00000241684.6",-2.70396810360068,0.0669393627073423,0.0137234522699032,"5","392","14.9388933439953",0.612179487179487,0.0982307484238673,"ENSG00000241684","ADAMTS9-AS2","ADAMTS9 antisense RNA 2"
"ENSG00000154310.17","ENSG00000154310.17",2.27255912756619,9.70420335842153,0.00569365869742847,"379","18","0.103048129049375",0.638461538461538,0.0975580280104583,"ENSG00000154310","TNIK","TRAF2 and NCK interacting kinase"
"ENSG00000276174.1","ENSG00000276174.1",1.48978165403241,4.43612680285074,0.0364971157532014,"278","119","0.225421870122689",0.617948717948718,0.0998246533949728,"ENSG00000276174",NA,NA
"ENSG00000206195.11","ENSG00000206195.11",2.71310131283402,15.0759583515392,0.0161794467538001,"395","2","0.0663307749120908",0.505448717948718,0.00667623049198133,"ENSG00000206195","DUXAP8","double homeobox A pseudogene 8"
"ENSG00000149548.15","ENSG00000149548.15",1.80792948926505,6.09780877398079,0.0296200466750071,"381","16","0.163993335485852",0.562820512820513,0.0702235626243467,"ENSG00000149548","CCDC15","coiled-coil domain containing 15"
"ENSG00000097046.13","ENSG00000097046.13",4.05046994630515,57.4244371074033,0.000298769712958075,"395","2","0.0174141889824651",0.616346153846154,0.0981766316948147,"ENSG00000097046","CDC7","cell division cycle 7"
"ENSG00000196689.12","ENSG00000196689.12",2.51488330594887,12.3651657536329,0.0185206135280908,"259","138","0.0808723489781118",0.80448717948718,0.0246346233675462,"ENSG00000196689","TRPV1","transient receptor potential cation channel subfamily V member 1"
"ENSG00000242198.1","ENSG00000242198.1",2.10070692119534,8.17194479211545,0.0481714728288291,"190","207","0.122369891799175",0.678846153846154,0.0699120596226719,"ENSG00000242198",NA,NA
"ENSG00000238278.3","ENSG00000238278.3",2.35860514879817,10.576188949213,0.029470219217981,"391","6","0.0945520172532861",0.61025641025641,0.0984202646302588,"ENSG00000238278",NA,NA
"ENSG00000249859.12","ENSG00000249859.12",2.69554245860227,14.8135523130363,0.014303182996368,"391","6","0.0675057527639723",0.611538461538462,0.0980949849520997,"ENSG00000249859","PVT1","Pvt1 oncogene"
"ENSG00000141337.12","ENSG00000141337.12",1.39712567370677,4.04356073444491,0.0379905028948112,"312","85","0.24730678371702",0.670833333333333,0.099168639134352,"ENSG00000141337","ARSG","arylsulfatase G"
"ENSG00000114841.17","ENSG00000114841.17",2.26150841744268,9.59755537341455,0.0334965220862216,"219","178","0.104193199319279",0.775,0.016686548176284,"ENSG00000114841","DNAH1","dynein axonemal heavy chain 1"
"ENSG00000141391.14","ENSG00000141391.14",3.94962011075386,51.91564089455,0.000458744932522162,"393","4","0.0192620178190842",0.616025641025641,0.0979090680278549,"ENSG00000141391","PRELID3A","PRELI domain containing 3A"
"ENSG00000204839.9","ENSG00000204839.9",2.65078805459888,14.1651971968194,0.0179535654233984,"388","9","0.0705955579795626",0.610576923076923,0.09766779875663,"ENSG00000204839","MROH6","maestro heat like repeat family member 6"
"ENSG00000226383.7","ENSG00000226383.7",1.67035752535527,5.31406737141286,0.0459543532302677,"369","28","0.188179774569574",0.579487179487179,0.0771224724466666,"ENSG00000226383","LINC01876","long intergenic non-protein coding RNA 1876"
"ENSG00000198826.11","ENSG00000198826.11",4.05046994630515,57.4244371074033,0.000298769712958075,"395","2","0.0174141889824651",0.616346153846154,0.0981766316948147,"ENSG00000198826","ARHGAP11A","Rho GTPase activating protein 11A"
"ENSG00000204434.6","ENSG00000204434.6",2.1467398195901,8.55691578373974,0.00919364076654621,"385","12","0.11686453685804",0.559615384615385,0.0635177931879243,"ENSG00000204434",NA,NA
"ENSG00000225855.7","ENSG00000225855.7",3.35288087570913,28.5849648688622,0.00275806676293695,"393","4","0.0349834258879677",0.614423076923077,0.0980066756944276,"ENSG00000225855","RUSC1-AS1","RUSC1 antisense RNA 1"
"ENSG00000167971.16","ENSG00000167971.16",4.36146645022366,78.3719788015633,0.00016459894455868,"395","2","0.012759662513205",0.616666666666667,0.0980917244384894,"ENSG00000167971","CASKIN1","CASK interacting protein 1"
"ENSG00000232713.2","ENSG00000232713.2",2.90272213456325,18.2236852352103,0.0104198131491933,"389","8","0.054873643123943",0.58301282051282,0.0796565785778814,"ENSG00000232713",NA,NA
"ENSG00000148053.17","ENSG00000148053.17",-2.32519295717738,0.0977645778542343,0.00796180190406213,"9","388","10.2286535875088",0.610576923076923,0.0974875292780147,"ENSG00000148053","NTRK2","neurotrophic receptor tyrosine kinase 2"
"ENSG00000163637.13","ENSG00000163637.13",-2.14614099229162,0.116934539490587,0.0471285109996646,"8","389","8.55179320290133",0.608653846153846,0.0984753615813776,"ENSG00000163637","PRICKLE2","prickle planar cell polarity protein 2"
"ENSG00000123407.4","ENSG00000123407.4",1.84112357621513,6.30361687759233,0.0119282157971661,"370","27","0.15863908283429",0.743269230769231,0.0978516967900292,"ENSG00000123407","HOXC12","homeobox C12"
